antecedents,consequents,support,confidence,lift
"Fill_Level_Underfilled,Handling_Stage_Loading,Humidity_Level_Low","Damaged,Impact_Events",0.015,0.5,3.3333333333333335
"Fragile_Label,Humidity_Level_High,Fill_Level_Proper","Damaged,Impact_Events",0.01,0.5,3.3333333333333335
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Loading,Humidity_Level_Low","Damaged,Impact_Events",0.01,0.5,3.3333333333333335
"Fragile_Label,Handling_Stage_Loading,Humidity_Level_Low","Damaged,Impact_Events",0.01,0.5,3.3333333333333335
"Humidity_Level_Medium,Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_nan","Damaged,Impact_Events",0.01,0.5,3.3333333333333335
"Fill_Level_Underfilled,Handling_Stage_Loading,Stacking_nan","Damaged,Impact_Events",0.01,0.5,3.3333333333333335
"Fill_Level_Underfilled,Stacking_High,Humidity_Level_Low","Packaging_Type_Encoded,Damaged,Impact_Events",0.02,0.36363636363636365,3.3057851239669422
"Handling_Stage_Conveyor,Dropped",Damaged,0.015,0.6,3.1578947368421053
"Stacking_Moderate,Fill_Level_Underfilled,Packaging_Type_Encoded,Humidity_Level_High",Damaged,0.015,0.6,3.1578947368421053
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Sorting,Humidity_Level_Low",Damaged,0.015,0.6,3.1578947368421053
"Fragile_Label,Stacking_High,Packaging_Type_Encoded,Humidity_Level_Low,Fill_Level_Underfilled",Damaged,0.015,0.6,3.1578947368421053
"Fill_Level_Underfilled,Stacking_High,Impact_Events,Humidity_Level_Low",Damaged,0.03,0.6,3.1578947368421053
"Packaging_Type_Encoded,Dropped,Humidity_Level_Low","Fill_Level_Underfilled,Damaged",0.015,0.3,3.1578947368421053
"Stacking_Moderate,Fill_Level_Underfilled,Humidity_Level_High",Damaged,0.015,0.6,3.1578947368421053
"Fragile_Label,Handling_Stage_Sorting,Impact_Events","Fill_Level_Underfilled,Damaged",0.015,0.3,3.1578947368421053
"Fill_Level_Underfilled,Dropped,Impact_Events",Damaged,0.015,0.6,3.1578947368421053
"Stacking_Moderate,Humidity_Level_High,Handling_Stage_Sorting",Damaged,0.015,0.6,3.1578947368421053
"Stacking_nan,Dropped,Handling_Stage_Sorting,Impact_Events",Damaged,0.015,0.6,3.1578947368421053
"Humidity_Level_Low,Fragile_Label,Stacking_High,Packaging_Type_Encoded,Impact_Events,Fill_Level_Underfilled",Damaged,0.015,0.6,3.1578947368421053
"Dropped,Handling_Stage_Sorting,Stacking_nan",Damaged,0.015,0.6,3.1578947368421053
"Fill_Level_Underfilled,Handling_Stage_Loading,Impact_Events,Humidity_Level_Low",Damaged,0.015,0.6,3.1578947368421053
"Humidity_Level_Low,Dropped,Stacking_nan",Damaged,0.015,0.6,3.1578947368421053
"Fill_Level_Underfilled,Packaging_Type_Encoded,Dropped,Impact_Events",Damaged,0.015,0.6,3.1578947368421053
"Humidity_Level_Low,Fragile_Label,Stacking_High,Packaging_Type_Encoded,Impact_Events","Fill_Level_Underfilled,Damaged",0.015,0.3,3.1578947368421053
"Fill_Level_Underfilled,Handling_Stage_Sorting,Humidity_Level_Low",Damaged,0.015,0.6,3.1578947368421053
"Stacking_nan,Packaging_Type_Encoded,Dropped,Humidity_Level_Low",Damaged,0.015,0.6,3.1578947368421053
"Fill_Level_Underfilled,Stacking_High,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.025,0.4545454545454546,3.1347962382445145
"Fill_Level_Underfilled,Stacking_nan,Impact_Events","Packaging_Type_Encoded,Damaged",0.025,0.4545454545454546,3.1347962382445145
"Dropped,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.025,0.4545454545454546,3.1347962382445145
"Fill_Level_Underfilled,Handling_Stage_Sorting","Damaged,Impact_Events",0.025,0.4545454545454546,3.0303030303030307
"Fill_Level_Underfilled,Handling_Stage_Loading,Humidity_Level_Low","Packaging_Type_Encoded,Damaged,Impact_Events",0.01,0.33333333333333337,3.0303030303030307
"Fill_Level_Underfilled,Handling_Stage_Loading","Damaged,Impact_Events",0.025,0.4545454545454546,3.0303030303030307
"Fragile_Label,Handling_Stage_Sorting,Humidity_Level_Low","Packaging_Type_Encoded,Damaged,Impact_Events",0.01,0.33333333333333337,3.0303030303030307
"Fill_Level_Underfilled,Dropped,Humidity_Level_Low","Packaging_Type_Encoded,Damaged,Impact_Events",0.01,0.33333333333333337,3.0303030303030307
"Stacking_High,Handling_Stage_Sorting,Humidity_Level_Low","Packaging_Type_Encoded,Damaged,Impact_Events",0.01,0.33333333333333337,3.0303030303030307
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Sorting","Damaged,Impact_Events",0.025,0.4545454545454546,3.0303030303030307
"Humidity_Level_Medium,Handling_Stage_Sorting,Stacking_nan","Packaging_Type_Encoded,Damaged,Impact_Events",0.015,0.3333333333333333,3.0303030303030303
"Fill_Level_Underfilled,Packaging_Type_Encoded,Dropped",Damaged,0.02,0.5714285714285714,3.007518796992481
"Dropped,Handling_Stage_Sorting,Impact_Events",Damaged,0.02,0.5714285714285714,3.007518796992481
"Fragile_Label,Fill_Level_Underfilled,Stacking_High",Damaged,0.02,0.5714285714285714,3.007518796992481
"Dropped,Handling_Stage_Sorting",Damaged,0.02,0.5714285714285714,3.007518796992481
"Fragile_Label,Humidity_Level_High,Impact_Events",Damaged,0.02,0.5714285714285714,3.007518796992481
"Dropped,Fill_Level_Overfilled",Damaged,0.02,0.5714285714285714,3.007518796992481
"Fill_Level_Underfilled,Dropped",Damaged,0.02,0.5714285714285714,3.007518796992481
"Fragile_Label,Fill_Level_Underfilled,Stacking_High,Impact_Events",Damaged,0.02,0.5714285714285714,3.007518796992481
"Humidity_Level_Medium,Packaging_Type_Encoded,Dropped","Damaged,Impact_Events",0.02,0.4444444444444445,2.9629629629629632
"Humidity_Level_Medium,Handling_Stage_Sorting,Stacking_nan","Damaged,Impact_Events",0.02,0.4444444444444445,2.9629629629629632
"Packaging_Type_Encoded,Fill_Level_Underfilled,Stacking_High,Humidity_Level_Low","Damaged,Impact_Events",0.02,0.4444444444444445,2.9629629629629632
"Fill_Level_Underfilled,Stacking_High",Damaged,0.045,0.5625,2.9605263157894735
"Dropped,Impact_Events,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.015,0.4285714285714285,2.9556650246305414
"Fragile_Label,Humidity_Level_High,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.4285714285714285,2.9556650246305414
"Fill_Level_Underfilled,Humidity_Level_High,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.4285714285714285,2.9556650246305414
"Fragile_Label,Fill_Level_Underfilled,Stacking_High","Packaging_Type_Encoded,Damaged",0.015,0.4285714285714285,2.9556650246305414
"Fragile_Label,Fill_Level_Underfilled,Stacking_High,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.4285714285714285,2.9556650246305414
"Fill_Level_Underfilled,Handling_Stage_Loading,Impact_Events",Damaged,0.025,0.5555555555555556,2.9239766081871346
"Packaging_Type_Encoded,Fill_Level_Underfilled,Stacking_High,Humidity_Level_Low",Damaged,0.025,0.5555555555555556,2.9239766081871346
"Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_nan,Impact_Events",Damaged,0.025,0.5555555555555556,2.9239766081871346
"Fill_Level_Underfilled,Handling_Stage_Sorting",Damaged,0.03,0.5454545454545454,2.8708133971291865
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Sorting",Damaged,0.03,0.5454545454545454,2.8708133971291865
"Fragile_Label,Humidity_Level_High",Damaged,0.03,0.5454545454545454,2.8708133971291865
"Stacking_High,Handling_Stage_Loading,Humidity_Level_Low","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Dropped,Fill_Level_Overfilled","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Fill_Level_Underfilled,Dropped","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Humidity_Level_Medium,Packaging_Type_Encoded,Handling_Stage_Sorting,Stacking_nan","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Handling_Stage_Sorting,Fill_Level_Overfilled","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Fill_Level_Underfilled,Packaging_Type_Encoded,Dropped","Damaged,Impact_Events",0.015,0.4285714285714285,2.8571428571428568
"Fill_Level_Underfilled,Stacking_High","Packaging_Type_Encoded,Damaged,Impact_Events",0.025,0.3125,2.840909090909091
"Fill_Level_Underfilled,Stacking_nan","Packaging_Type_Encoded,Damaged,Impact_Events",0.025,0.3125,2.840909090909091
"Fragile_Label,Fill_Level_Underfilled","Packaging_Type_Encoded,Damaged,Impact_Events",0.025,0.3125,2.840909090909091
"Fill_Level_Underfilled,Stacking_High,Impact_Events",Damaged,0.04,0.5333333333333333,2.807017543859649
"Packaging_Type_Encoded,Fill_Level_Underfilled,Stacking_High","Damaged,Impact_Events",0.025,0.4166666666666667,2.777777777777778
"Stacking_nan,Handling_Stage_Conveyor,Impact_Events,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fill_Level_Underfilled,Stacking_High,Impact_Events,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.02,0.39999999999999997,2.758620689655172
"Stacking_Moderate,Fill_Level_Underfilled,Handling_Stage_Conveyor","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Stacking_Moderate,Handling_Stage_Sorting,Humidity_Level_High","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Stacking_nan,Handling_Stage_Conveyor,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fragile_Label,Handling_Stage_Conveyor,Impact_Events","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fill_Level_Underfilled,Handling_Stage_Loading,Impact_Events,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Handling_Stage_Conveyor,Dropped","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Dropped,Handling_Stage_Sorting,Stacking_nan","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Stacking_nan,Dropped,Handling_Stage_Sorting,Impact_Events","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Stacking_High,Impact_Events,Handling_Stage_Sorting,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fill_Level_Underfilled,Impact_Events,Stacking_nan,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fragile_Label,Stacking_High,Handling_Stage_Delivery,Fill_Level_Proper","Packaging_Type_Encoded,Damaged",0.01,0.39999999999999997,2.758620689655172
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Sorting,Humidity_Level_Low","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Handling_Stage_Conveyor,Dropped","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Stacking_Moderate,Fill_Level_Underfilled,Humidity_Level_High","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Packaging_Type_Encoded,Fragile_Label,Handling_Stage_Conveyor","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Stacking_nan,Handling_Stage_Conveyor,Humidity_Level_Low","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Fill_Level_Underfilled,Handling_Stage_Sorting,Humidity_Level_Low","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Humidity_Level_Medium,Packaging_Type_Encoded,Dropped,Stacking_nan","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Stacking_Moderate,Fill_Level_Underfilled,Packaging_Type_Encoded,Humidity_Level_High","Damaged,Impact_Events",0.01,0.39999999999999997,2.6666666666666665
"Fragile_Label,Dropped",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Handling_Stage_Loading,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Overfilled,Handling_Stage_Sorting,Impact_Events",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Proper,Humidity_Level_High,Fragile_Label",Damaged,0.01,0.5,2.6315789473684212
"Dropped,Humidity_Level_High",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Handling_Stage_Conveyor,Dropped,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Fragile_Label,Fill_Level_Underfilled,Stacking_High",Damaged,0.015,0.5,2.6315789473684212
"Humidity_Level_Medium,Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Low,Stacking_High,Packaging_Type_Encoded,Impact_Events,Fill_Level_Underfilled",Damaged,0.02,0.5,2.6315789473684212
"Fill_Level_Overfilled,Dropped,Impact_Events",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Handling_Stage_Loading,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Packaging_Type_Encoded,Impact_Events,Handling_Stage_Sorting,Stacking_nan",Damaged,0.015,0.5,2.6315789473684212
"Humidity_Level_Low,Packaging_Type_Encoded,Impact_Events,Fill_Level_Underfilled,Handling_Stage_Sorting",Damaged,0.01,0.5,2.6315789473684212
"Handling_Stage_Conveyor,Humidity_Level_Low,Packaging_Type_Encoded,Impact_Events,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Low,Dropped,Packaging_Type_Encoded,Impact_Events,Fill_Level_Underfilled",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Stacking_High,Handling_Stage_Loading",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Handling_Stage_Sorting,Humidity_Level_High,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Dropped,Handling_Stage_Sorting",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Packaging_Type_Encoded,Humidity_Level_High",Damaged,0.02,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport",Damaged,0.015,0.5,2.6315789473684212
"Fragile_Label,Handling_Stage_Loading,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Dropped,Packaging_Type_Encoded,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Dropped,Impact_Events,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Dropped,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Impact_Events,Fill_Level_Proper,Handling_Stage_Transport",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Dropped,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Dropped,Handling_Stage_Sorting,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Stacking_High,Handling_Stage_Sorting,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Handling_Stage_Conveyor,Dropped,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Handling_Stage_Conveyor,Dropped",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Humidity_Level_Medium,Stacking_High,Dropped",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Fill_Level_Underfilled,Handling_Stage_Conveyor",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Packaging_Type_Encoded,Fill_Level_Proper,Handling_Stage_Transport",Damaged,0.01,0.5,2.6315789473684212
"Humidity_Level_Medium,Fill_Level_Underfilled,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Fill_Level_Underfilled,Handling_Stage_Sorting,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Stacking_High,Packaging_Type_Encoded,Impact_Events,Fill_Level_Underfilled",Damaged,0.015,0.5,2.6315789473684212
"Stacking_Moderate,Handling_Stage_Sorting,Fragile_Label",Damaged,0.01,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_High",Damaged,0.03,0.5,2.6315789473684212
"Fragile_Label,Handling_Stage_Delivery,Humidity_Level_High",Damaged,0.01,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_nan,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Dropped,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Loading,Impact_Events",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Sorting,Stacking_nan",Damaged,0.01,0.5,2.6315789473684212
"Fill_Level_Underfilled,Dropped,Impact_Events,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Loading,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Dropped,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Stacking_nan,Handling_Stage_Conveyor,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Packaging_Type_Encoded,Handling_Stage_Delivery,Humidity_Level_High",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Dropped,Stacking_nan",Damaged,0.025,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport,Fill_Level_Proper",Damaged,0.015,0.5,2.6315789473684212
"Fill_Level_Underfilled,Impact_Events,Handling_Stage_Sorting,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Handling_Stage_Loading,Impact_Events,Humidity_Level_Low",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Fragile_Label,Handling_Stage_Conveyor,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Humidity_Level_Medium,Fill_Level_Underfilled,Handling_Stage_Conveyor",Damaged,0.01,0.5,2.6315789473684212
"Stacking_Moderate,Packaging_Type_Encoded,Handling_Stage_Sorting,Humidity_Level_High",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Packaging_Type_Encoded,Humidity_Level_High,Impact_Events",Damaged,0.015,0.5,2.6315789473684212
"Handling_Stage_Conveyor,Dropped,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Stacking_High,Handling_Stage_Sorting,Humidity_Level_Low",Damaged,0.015,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_nan,Handling_Stage_Sorting,Impact_Events",Damaged,0.02,0.5,2.6315789473684212
"Humidity_Level_Medium,Stacking_High,Dropped",Damaged,0.01,0.5,2.6315789473684212
"Fragile_Label,Stacking_High,Handling_Stage_Loading,Impact_Events",Damaged,0.01,0.5,2.6315789473684212
"Packaging_Type_Encoded,Dropped,Humidity_Level_Low",Damaged,0.025,0.5,2.6315789473684212
"Fill_Level_Underfilled,Stacking_nan,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.015,0.375,2.586206896551724
"Fill_Level_Underfilled,Stacking_nan","Packaging_Type_Encoded,Damaged",0.03,0.375,2.586206896551724
"Stacking_High,Handling_Stage_Sorting","Packaging_Type_Encoded,Damaged",0.015,0.375,2.586206896551724
"Humidity_Level_Medium,Stacking_nan,Handling_Stage_Sorting,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.375,2.586206896551724
"Fill_Level_Underfilled,Stacking_High","Packaging_Type_Encoded,Damaged",0.03,0.375,2.586206896551724
"Fragile_Label,Humidity_Level_High","Packaging_Type_Encoded,Damaged",0.02,0.36363636363636365,2.5078369905956115
"Fill_Level_Underfilled,Humidity_Level_High","Packaging_Type_Encoded,Damaged",0.02,0.36363636363636365,2.5078369905956115
"Fill_Level_Underfilled,Handling_Stage_Conveyor","Packaging_Type_Encoded,Damaged",0.02,0.36363636363636365,2.5078369905956115
"Humidity_Level_Medium,Fill_Level_Underfilled,Impact_Events","Packaging_Type_Encoded,Damaged",0.02,0.36363636363636365,2.5078369905956115
"Fragile_Label,Fill_Level_Underfilled","Damaged,Impact_Events",0.03,0.375,2.5
"Fill_Level_Underfilled,Packaging_Type_Encoded,Handling_Stage_Loading","Damaged,Impact_Events",0.015,0.375,2.5
"Fragile_Label,Packaging_Type_Encoded,Humidity_Level_High","Damaged,Impact_Events",0.015,0.375,2.5
"Packaging_Type_Encoded,Dropped",Damaged,0.045,0.47368421052631576,2.493074792243767
"Packaging_Type_Encoded,Dropped","Damaged,Impact_Events",0.035,0.368421052631579,2.4561403508771935
"Packaging_Type_Encoded,Dropped,Impact_Events",Damaged,0.035,0.46666666666666673,2.456140350877193
"Stacking_Moderate,Humidity_Level_High","Packaging_Type_Encoded,Damaged",0.03,0.3529411764705882,2.434077079107505
"Stacking_Moderate,Packaging_Type_Encoded,Humidity_Level_High",Damaged,0.03,0.4615384615384615,2.42914979757085
"Fragile_Label,Fill_Level_Underfilled,Humidity_Level_Low","Damaged,Impact_Events",0.02,0.36363636363636365,2.4242424242424243
"Fragile_Label,Handling_Stage_Sorting","Damaged,Impact_Events",0.02,0.36363636363636365,2.4242424242424243
"Fragile_Label,Humidity_Level_High","Damaged,Impact_Events",0.02,0.36363636363636365,2.4242424242424243
"Stacking_High,Handling_Stage_Loading","Damaged,Impact_Events",0.02,0.36363636363636365,2.4242424242424243
"Dropped,Humidity_Level_Low",Damaged,0.025,0.4545454545454546,2.3923444976076556
"Fill_Level_Underfilled,Handling_Stage_Loading",Damaged,0.025,0.4545454545454546,2.3923444976076556
"Humidity_Level_Medium,Fill_Level_Underfilled,Impact_Events",Damaged,0.025,0.4545454545454546,2.3923444976076556
"Packaging_Type_Encoded,Fill_Level_Underfilled,Stacking_High,Impact_Events",Damaged,0.025,0.4545454545454546,2.3923444976076556
"Fill_Level_Underfilled,Stacking_nan,Impact_Events",Damaged,0.025,0.4545454545454546,2.3923444976076556
"Humidity_Level_Medium,Fill_Level_Underfilled","Damaged,Impact_Events",0.025,0.35714285714285715,2.380952380952381
"Humidity_Level_Medium,Dropped","Damaged,Impact_Events",0.025,0.35714285714285715,2.380952380952381
"Fragile_Label,Stacking_High,Humidity_Level_Low","Damaged,Impact_Events",0.025,0.35714285714285715,2.380952380952381
"Fill_Level_Underfilled,Packaging_Type_Encoded,Stacking_nan","Damaged,Impact_Events",0.025,0.35714285714285715,2.380952380952381
"Fragile_Label,Fill_Level_Underfilled,Packaging_Type_Encoded","Damaged,Impact_Events",0.025,0.35714285714285715,2.380952380952381
"Humidity_Level_Medium,Packaging_Type_Encoded,Dropped,Impact_Events",Damaged,0.02,0.4444444444444445,2.339181286549708
"Stacking_Moderate,Packaging_Type_Encoded,Humidity_Level_High,Impact_Events",Damaged,0.02,0.4444444444444445,2.339181286549708
"Humidity_Level_Medium,Handling_Stage_Sorting,Stacking_nan",Damaged,0.02,0.4444444444444445,2.339181286549708
"Humidity_Level_Medium,Packaging_Type_Encoded,Dropped",Damaged,0.02,0.4444444444444445,2.339181286549708
"Humidity_Level_Medium,Fill_Level_Underfilled,Packaging_Type_Encoded,Impact_Events",Damaged,0.02,0.4444444444444445,2.339181286549708
"Humidity_Level_High,Fill_Level_Overfilled",Damaged,0.02,0.4444444444444445,2.339181286549708
"Dropped,Stacking_nan",Damaged,0.035,0.43750000000000006,2.3026315789473686
"Fill_Level_Underfilled,Handling_Stage_Loading,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Fragile_Label,Handling_Stage_Sorting,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Fill_Level_Underfilled,Stacking_High,Impact_Events","Packaging_Type_Encoded,Damaged",0.025,0.33333333333333337,2.298850574712644
"Fragile_Label,Fill_Level_Underfilled,Impact_Events","Packaging_Type_Encoded,Damaged",0.025,0.33333333333333337,2.298850574712644
"Impact_Events,Handling_Stage_Sorting,Fill_Level_Overfilled","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Delivery,Fill_Level_Proper","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Stacking_High,Handling_Stage_Sorting,Impact_Events","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Fragile_Label,Stacking_High,Impact_Events,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.02,0.33333333333333337,2.298850574712644
"Stacking_nan,Handling_Stage_Loading,Impact_Events","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Dropped,Impact_Events,Fill_Level_Overfilled","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Humidity_Level_Medium,Stacking_High,Handling_Stage_Transport,Fill_Level_Proper","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Fragile_Label,Impact_Events,Handling_Stage_Sorting,Humidity_Level_Low","Packaging_Type_Encoded,Damaged",0.01,0.33333333333333337,2.298850574712644
"Fill_Level_Underfilled,Handling_Stage_Loading,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.3333333333333333,2.2988505747126435
"Fill_Level_Underfilled,Handling_Stage_Conveyor,Impact_Events","Packaging_Type_Encoded,Damaged",0.015,0.3333333333333333,2.2988505747126435
"Humidity_Level_Medium,Handling_Stage_Sorting,Stacking_nan","Packaging_Type_Encoded,Damaged",0.015,0.3333333333333333,2.2988505747126435
"Handling_Stage_Sorting,Fill_Level_Overfilled",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Packaging_Type_Encoded,Fragile_Label,Stacking_High,Fill_Level_Proper",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Stacking_High,Handling_Stage_Loading,Impact_Events,Humidity_Level_Low",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Humidity_Level_Low,Dropped,Impact_Events",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Humidity_Level_Medium,Packaging_Type_Encoded,Handling_Stage_Sorting,Stacking_nan",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Stacking_High,Handling_Stage_Loading,Humidity_Level_Low",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Fill_Level_Underfilled,Humidity_Level_High,Impact_Events",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Humidity_Level_Medium,Packaging_Type_Encoded,Handling_Stage_Sorting,Impact_Events",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Humidity_Level_High,Handling_Stage_Sorting,Impact_Events",Damaged,0.015,0.4285714285714285,2.2556390977443606
"Fill_Level_Underfilled,Packaging_Type_Encoded,Humidity_Level_High,Impact_Events",Damaged,0.015,0.4285714285714285,2.2556390977443606
